ticker,name,exchange,category name,country,,,
LEG.F,LEG Immobilien AG,FRA,General Building Materials,France,,,
KWS.F,KWS Saat SE,FRA,Farm Products,France,,,
KRN.F,Krones AG,FRA,Diversified Machinery,France,,,
KBC.F,Kontron AG,FRA,Computer Based Systems,France,,,
HNR1.F,Hannover Rück SE,FRA,Property & Casualty Insurance,France,,,
HNL.F,Dr. Hönle AG,FRA,Electronic Equipment,France,,,
HEI.F,HeidelbergCement AG,FRA,General Building Materials,France,,,
HDP.PA,Les Hotels De Paris SA,PAR,Lodging,France,,,
HDD.F,Heidelberger Druckmaschinen Aktiengesellschaft,FRA,Diversified Machinery,France,,,
HBM.F,Hornbach Baumarkt AG,FRA,Home Furnishings & Fixtures,France,,,
GUYD.PA,Guy Degrenne S.A.,PAR,Personal Products,France,,,
FEV.F,Fortec Elektronik AG,FRA,Electronic Equipment,France,,,
FDL.PA,Foncière Développement Logements,PAR,REIT - Residential,France,,,
EBK.F,EnBW Energie Baden-Württemberg AG,FRA,Diversified Utilities,France,,,
SEV.PA,SUEZ SA,PAR,Water Utilities,France,,,
ERF.PA,Eurofins Scientific SE,PAR,Medical Laboratories & Research,France,,,
EO.PA,Faurecia S.A.,PAR,Auto Parts,France,,,
EI.PA,Essilor International Société Anonyme,PAR,Medical Instruments & Supplies,France,,,
CBE.PA,Robertet SA,PAR,Chemicals - Major Diversified,France,,,
SU.PA,Schneider Electric S.E.,PAR,Diversified Machinery,France,,,
ERSC.PA,Eurosic SA,PAR,REIT - Diversified,France,,,
ELIOR.PA,Elior Group,PAR,Restaurants,France,,,
ECP.PA,EuropaCorp,PAR,Broadcasting - TV,France,,,
VIE.PA,Veolia Environnement S.A.,PAR,Waste Management,France,,,
UBI.PA,Ubisoft Entertainment SA,PAR,Multimedia & Graphics Software,France,,,
SESL.PA,SES-imagotag,PAR,Diversified Electronics,France,,,
RF.PA,Eurazeo SE,PAR,Asset Management,France,,,
GPE.PA,Groupe Pizzorno Environnement,PAR,Waste Management,France,,,
FGR.PA,Eiffage SA,PAR,General Contractors,France,,,
ES.PA,Esso S.A.F.,PAR,Oil & Gas Refining & Marketing,France,,,
ERYP.PA,Erytech Pharma Société Anonyme,PAR,Biotechnology,France,,,
EOS.PA,ACTEOS S.A.,PAR,Business Software & Services,France,,,
EKI.PA,EKINOPS S.A.,PAR,Semiconductor Equipment & Materials,France,,,
EDEN.PA,Edenred SA,PAR,Credit Services,France,,,
ALSAS.PA,Stradim Espace Finances SA,PAR,Property Management,France,,,
ALGEM.PA,Eurogerm SA,PAR,Farm Products,France,,,
XONA.DE,Exxon Mobil Corporation,FRA,Major Integrated Oil & Gas,France,,,
MLCVG.PA,SociÃ©tÃ© des Chemins de Fer et Tramways du Var et du Gard,PAR,Asset Management,France,,,
PUB.PA,Publicis Groupe S.A.,PAR,Advertising Agencies,France,,,
OR.PA,L'Oréal S.A.,PAR,Personal Products,France,,,
SAN.PA,Sanofi,PAR,Drug Manufacturers - Major,France,,,
SAF.PA,Safran SA,PAR,Aerospace/Defense - Major Diversified,France,,,
GLE.PA,Societe Generale Group,PAR,Money Center Banks,France,,,
CRTO.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de La Touraine et du Poitou,PAR,Money Center Banks,France,,,
VIV.PA,Vivendi SA,PAR,Wireless Communications,France,,,
SOI.PA,Soitec S.A.,PAR,Semiconductor Equipment & Materials,France,,,
VRAP.PA,Vranken-Pommery Monopole Société anonyme,PAR,Beverages - Brewers,France,,,
TOTB.DE,TOTAL S.A.,FRA,Major Integrated Oil & Gas,France,,,
TKTT.PA,Tarkett S.A.,PAR,General Building Materials,France,,,
TCH.PA,Technicolor SA,PAR,Entertainment - Diversified,France,,,
SOP.PA,Sopra Steria Group,PAR,Information Technology Services,France,,,
QUA.PA,Quantel,PAR,Medical Appliances & Equipment,France,,,
MC.PA,LVMH Moët Hennessy Louis Vuitton S.E.,PAR,Jewelry Stores,France,,,
MAU.PA,Etablissements Maurel & Prom S.A.,PAR,Independent Oil & Gas,France,,,
ILD.PA,Iliad SA,PAR,Wireless Communications,France,,,
HO.PA,Thales S.A.,PAR,Aerospace/Defense - Major Diversified,France,,,
FR.PA,Valeo SA,PAR,Auto Parts,France,,,
FP.PA,TOTAL S.A.,PAR,Major Integrated Oil & Gas,France,,,
CAF.PA,Caisse RÃ©gionale de CrÃ©dit Agricole Mutuel de Paris et d'Ile-de-France,PAR,Money Center Banks,France,,,
VK.PA,Vallourec SA,PAR,Steel & Iron,France,,,
VIRP.PA,Virbac SA,PAR,Drug Manufacturers - Major,France,,,
VAC.PA,Pierre & Vacances SA,PAR,Lodging,France,,,
UG.PA,Peugeot S.A.,PAR,Auto Manufacturers - Major,France,,,
THEP.PA,Thermador Groupe Société Anonyme,PAR,Business Services,France,,,
TES.PA,Tessi SA,PAR,Information Technology Services,France,,,
SX.PA,CS Communication & Systemes SA,PAR,Aerospace/Defense - Major Diversified,France,,,
SW.PA,Sodexo S.A.,PAR,Business Services,France,,,
STAL.PA,Installux SA,PAR,General Building Materials,France,,,
SNW.DE,Sanofi,FRA,Drug Manufacturers - Major,France,,,
SGO.PA,Compagnie de Saint-Gobain S.A.,PAR,General Building Materials,France,,,
RXL.PA,Rexel S.A.,PAR,Business Services,France,,,
RI.PA,Pernod Ricard SA,PAR,Beverages - Wineries & Distillers,France,,,
RCO.PA,Rémy Cointreau SA,PAR,Beverages - Wineries & Distillers,France,,,
PARRO.PA,Parrot S.A.,PAR,Communication Equipment,France,,,
NEO.PA,Neopost S.A.,PAR,Business Equipment,France,,,
MGIC.PA,MGI Coutier SA,PAR,Auto Parts,France,,,
ITXT.PA,Intexa S.A.,PAR,Textile - Apparel Clothing,France,,,
ICAD.PA,Icade S.A.,PAR,REIT - Diversified,France,,,
HBW.PA,Hubwoo,PAR,Information Technology Services,France,,,
HAV.PA,Havas SA,PAR,Marketing Services,France,,,
GDS.PA,Ramsay Générale de Santé SA,PAR,Health Care Plans,France,,,
FLY.PA,Societe Fonciere Lyonnaise,PAR,REIT - Office,France,,,
FLE.PA,Fleury Michon SA,PAR,Food - Major Diversified,France,,,
FII.PA,Lisi S.A.,PAR,Aerospace/Defense - Major Diversified,France,,,
COX.PA,Nicox S.A.,PAR,Biotechnology,France,,,
CA.PA,Carrefour SA,PAR,Grocery Stores,France,,,
BVI.PA,Bureau Veritas SA,PAR,Business Services,France,,,
BB.PA,Société BIC SA,PAR,Personal Products,France,,,
XCA.DE,Credit Agricole S.A.,FRA,Money Center Banks,France,,,
VRNL.PA,Verneuil Participations SA,PAR,Asset Management,France,,,
TRI.PA,Trigano S.A.,PAR,Recreational Goods, Other,France,,,
TOUP.PA,Touax SCA,PAR,Shipping,France,,,
TER.PA,Terreïs (France),PAR,REIT - Diversified,France,,,
SWP.PA,Sword Group S.E.,PAR,Technical & System Software,France,,,
STF.PA,Stef SA,PAR,Railroads,France,,,
SOA.PA,Sodifrance SA,PAR,Business Software & Services,France,,,
SEC.PA,Soditech SA,PAR,General Contractors,France,,,
SBT.PA,Oeneo SA,PAR,Beverages - Brewers,France,,,
RNO.PA,Renault SA,PAR,Auto Manufacturers - Major,France,,,
QTE.PA,Quotium Technologies SA,PAR,Technical & System Software,France,,,
PIX.PA,Pixium Vision SA,PAR,Medical Instruments & Supplies,France,,,
